MSFT,IBM,SBUX,AAPL,GSPC,Date
-0.5055163887415923,-1.491149060477834,-0.4551389568161267,-1.2597000183305982,-0.12002345982586612,2007-01-03
-0.5097515884684675,-1.468111083134707,-0.45395810215121707,-1.2525957790293005,-0.11521147520130304,2007-01-04
-0.5241509084993244,-1.487826266792743,-0.45838633936264245,-1.2549256923660175,-0.1390779637270427,2007-01-05
-0.4995872569641807,-1.455041353043439,-0.4622240848055841,-1.253321489740737,-0.13042185884436794,2007-01-08
-0.4970463060882998,-1.429123685398872,-0.46665219314495165,-1.2262031150155723,-0.13244063903748565,2007-01-09
-0.5224568708486356,-1.4552629314959467,-0.4698995756914674,-1.2092828278106802,-0.12486312734865951,2007-01-10
-0.4343668074126519,-1.46057934251859,-0.4386071203794507,-1.2138661772722512,-0.10005645735469869,2007-01-11
-0.3911690585203867,-1.445294630722723,-0.4359501651653896,-1.2183731650028382,-0.08094659042258553,2007-01-12
-0.39540404704695653,-1.4125097437341012,-0.42650345671817097,-1.208900874804661,-0.07771080530999178,2007-01-16
-0.4004860543988708,-1.4302313368152673,-0.4244369932725936,-1.217112777823414,-0.08125075661258249,2007-01-17
-0.408956348252469,-1.4428579100015198,-0.4397879750443602,-1.239571325875145,-0.09300423488222356,2007-01-18
-0.3996390355735263,-1.515516133886451,-0.44657779271354686,-1.2417484291392347,-0.08158260570080975,2007-01-19
-0.43267287536211585,-1.494693298812019,-0.45395810215121707,-1.2482797678017232,-0.10246244966698023,2007-01-22
-0.43097883771142653,-1.4953578200840816,-0.46399530236691944,-1.2524429978268927,-0.08852409934588772,2007-01-23
-0.40133317882436814,-1.4882692096122974,-0.4687186565905289,-1.2486234966369207,-0.05495059287633101,2007-01-24
-0.4555422780462653,-1.4858324888910945,-0.4929259839130883,-1.2503422851640071,-0.09983499969990438,2007-01-25
-0.44283699566609724,-1.4871617187599981,-0.4955829391271492,-1.2536652474461543,-0.10459161852800691,2007-01-26
-0.44876612744350886,-1.463016063239793,-0.4755085386957444,-1.2515263394826663,-0.10890599959997324,2007-01-29
-0.45300132717038444,-1.4446299488865644,-0.4755085386957444,-1.2530159273359216,-0.08622883586100331,2007-01-30
-0.4208145062071397,-1.4495033903289702,-0.46429054825116145,-1.252328411925087,-0.0601774752838122,2007-01-31
-0.446225176567628,-1.4528262107747438,-0.47993677590716965,-1.2561097178144573,-0.0388830736942118,2007-02-01
-0.4775647675052228,-1.4490604207487334,-0.4840697027983243,-1.2560715225138555,-0.03210733451350335,2007-02-02
-0.5266918593752054,-1.4222566266189132,-0.49144994779996576,-1.259165312992391,-0.03597913766984529,2007-02-05
-0.5351620476286507,-1.4339971268412777,-0.5017824583359388,-1.2583632116797507,-0.033185930472875935,2007-02-06
-0.5470203111834739,-1.4342192137467566,-0.5017824583359388,-1.250724238170026,-0.02759951607893722,2007-02-07
-0.5563375182622637,-1.4324416889217646,-0.5091627033375803,-1.2506096233980009,-0.032328454774333444,2007-02-08
-0.5800541509720635,-1.4562156385596827,-0.5227424031119824,-1.2617243403922802,-0.060675078836408956,2007-02-09
-0.5834421206732888,-1.4555491102364202,-0.5313035672145623,-1.2555749836060304,-0.07364556479105004,2007-02-12
-0.5689928517701731,-1.461992547409712,-0.5315987486627752,-1.2562624701466454,-0.04352896369491718,2007-02-13
-0.5358446470161367,-1.441773647421778,-0.5115243482313705,-1.2539707809807499,-0.012997467581390204,2007-02-14
-0.5307450044387102,-1.447994837125495,-0.5150668477900704,-1.2543145386861672,-0.008821498235051309,2007-02-15
-0.5919417713693561,-1.4464395597700779,-0.52126636699886,-1.25576596010904,-0.012333769404935718,2007-02-16
-0.5842920963029108,-1.4384408184806858,-0.5268753944391659,-1.2516791206850741,-0.0008844573252916101,2007-02-20
-0.5400944195640941,-1.444217727330715,-0.5392741751126297,-1.2390748158375398,-0.006553917648397198,2007-02-21
-0.5366946226457591,-1.4573266350614122,-0.52126636699886,-1.2378907615188803,-0.010010823021821042,2007-02-22
-0.5783424780958624,-1.4744349268171466,-0.5289418578847432,-1.239571325875145,-0.024364071125831662,2007-02-23
-0.5638932091927465,-1.4926542418352928,-0.5507875403135123,-1.2417102338386328,-0.029397176011224848,2007-02-26
-0.6658878559438733,-1.5581993692237968,-0.587984140078019,-1.259203508292993,-0.16858589228369344,2007-02-27
-0.6403892206561298,-1.5808623491206684,-0.5835559673026227,-1.2566062278520627,-0.14707037043326296,2007-02-28
-0.6471888144928002,-1.5957489690011362,-0.5986117676261762,-1.2472484946854714,-0.1571642631022796,2007-03-01
-0.6752373766694098,-1.626188415957142,-0.6136675679497298,-1.2535506615443486,-0.2014126518821048,2007-03-02
-0.6930865480910134,-1.6059695427298903,-0.6275424491723449,-1.2500749180597936,-0.23750287949134022,2007-03-05
-0.6692877584623613,-1.5617542850703672,-0.6101250039550011,-1.2429324834578943,-0.17862475931573774,2007-03-06
-0.6879866943132815,-1.5586436768381673,-0.596250058296357,-1.2447276337159647,-0.188138337131431,2007-03-07
-0.7126354595715556,-1.5795292657134603,-0.5894601761911415,-1.2436581941693305,-0.16070421440487032,2007-03-08
-0.7151852808602691,-1.573308076009743,-0.6009734769559952,-1.2437727800711365,-0.1580771018317587,2007-03-09
-0.7024359632163972,-1.5548665402827049,-0.6080585405094239,-1.2365157306972114,-0.14767870281325687,2007-03-12
-0.7636328357471956,-1.585972702886752,-0.6290184852854674,-1.2421303821452538,-0.2269110431102386,2007-03-13
-0.7058358657348852,-1.5626430341025221,-0.6301994043864059,-1.236019220659606,-0.2014126518821048,2007-03-14
-0.7160352564898911,-1.5695309394542807,-0.6222286676162807,-1.2376615897152687,-0.18728086419841247,2007-03-15
-0.7117854839419336,-1.5739746043330058,-0.5930027401858702,-1.237585199114065,-0.20202132442158693,2007-03-16
-0.6692877584623613,-1.557532840900534,-0.5794229759754391,-1.231703180561809,-0.16023395359101564,2007-03-19
-0.6684377828327394,-1.5462012974307329,-0.5693858401957657,-1.2303663739109614,-0.1356764241500794,2007-03-20
-0.6106407072202763,-1.5270932333804321,-0.5431119849916002,-1.221237812547982,-0.06902701752908674,2007-03-21
-0.6318895699600625,-1.530870343175212,-0.5617103493098824,-1.2208940548425649,-0.07040977967845628,2007-03-22
-0.6531385383000016,-1.5344254195858784,-0.5682049855308561,-1.2225746191988296,-0.06606805586774787,2007-03-23
-0.6361394481081725,-1.5350919479091412,-0.5525587578748478,-1.2136752296394613,-0.06222393560963622,2007-03-26
-0.6786372791878976,-1.5410909169039664,-0.5593486399800632,-1.2151648174927163,-0.08680948810829094,2007-03-27
-0.6854368730245681,-1.5515337113416128,-0.5723379124220107,-1.223644087615683,-0.11828116845556305,2007-03-28
-0.6760873522990317,-1.5446459933146333,-0.5708618763088882,-1.2216961272849853,-0.10362375416155546,2007-03-29
-0.6658878559438733,-1.5515337113416128,-0.5699762030921915,-1.2249045325355465,-0.10824230142351876,2007-03-30
-0.6769373279286537,-1.5304260623215242,-0.5732235856387073,-1.2220780802910045,-0.09803733976761675,2007-04-02
-0.6658878559438733,-1.5106514699479603,-0.56613845764925,-1.2188315374802807,-0.06147718873849088,2007-04-03
-0.6123406584795203,-1.5082073900390232,-0.5705666304246463,-1.2197100005239052,-0.057052418998615594,2007-04-04
-0.6080909915317158,-1.5013196720120432,-0.5687954128633108,-1.2181440220694464,-0.044911725844286716,2007-04-05
-0.6063910402724718,-1.4990976522479018,-0.5764709037491941,-1.2220780802910045,-0.04256109932846573,2007-04-09
-0.6208402035754347,-1.5026527286585687,-0.5758804764167393,-1.219786391125109,-0.03210733451350335,2007-04-10
-0.6454888632335563,-1.531536898259157,-0.5885745674104738,-1.2261267244143685,-0.058435181147985134,2007-04-11
-0.608940755961032,-1.5202054885927694,-0.5903458494078382,-1.2276545364384452,-0.03373889982193326,2007-04-12
-0.6029911377539835,-1.5366472520252412,-0.5876888941937772,-1.23510253344516,-0.019773203996574673,2007-04-13
-0.5927917469989781,-1.5088739183622857,-0.5791277945272262,-1.230557350413971,0.023037056837420418,2007-04-16
-0.5825921450436669,-1.4879883294869929,-0.5794229759754391,-1.234682385138539,0.03174852475103176,2007-04-17
-0.6038411133836056,-1.5395356127878665,-0.5811942579728036,-1.2344914086355292,0.0345694148462314,2007-04-18
-0.5961914383171606,-1.5508671830183502,-0.5870984668613224,-1.2349879475433543,0.029674381526977447,2007-04-19
-0.5681428761405507,-1.5444237458450583,-0.5611199219774277,-1.2323143053714396,0.06734081141370618,2007-04-20
-0.5885418688508678,-1.5304260623215242,-0.5637768127554598,-1.2226128144994315,0.057882934022913723,2007-04-23
-0.5876918932212458,-1.4575488825309866,-0.5705666304246463,-1.223644087615683,0.056444806077083624,2007-04-24
-0.570692803029417,-1.3915594207674296,-0.5558060759853346,-1.2155849657993374,0.09795535345640002,2007-04-25
-0.5613432823038803,-1.4040018269355465,-0.5563965033177894,-1.2022549502403668,0.09471956834380627,2007-04-26
-0.47464777448533874,-1.3980028579407213,-0.565843276201037,-1.198129915515799,0.0942216246317213,2007-04-27
-0.4899470190180764,-1.374895436626066,-0.580013403307894,-1.198588259123022,0.061865125847164616,2007-04-30
-0.4508490904568391,-1.3535655401364024,-0.5803086491921358,-1.1998486751726656,0.07273378567952112,2007-05-01
-0.43299991903523544,-1.374673189156491,-0.5732235856387073,-1.1963347363875088,0.09933811560576956,2007-05-02
-0.4024016411700654,-1.3617863415705902,-0.5623007122063083,-1.1962965410869069,0.11723097761840667,2007-05-03
-0.43724979718334533,-1.3582314257240193,-0.5894601761911415,-1.1947305915026676,0.1261635657928481,2007-05-04
-0.42450047953947356,-1.3537876002811982,-0.5997925578550569,-1.1828519684963499,0.1368384481031166,2007-05-07
-0.42110057702098563,-1.3419659616689779,-0.6048111579629081,-1.1784977619681707,0.1319711004476169,2007-05-08
-0.41855065013211973,-1.3176534265316424,-0.6089440848540627,-1.171546274999061,0.14541150705662448,2007-05-09
-0.4355498459241014,-1.310961810787269,-0.6237047037294032,-1.1697893200415925,0.08703133059310694,2007-05-10
-0.40920134060688873,-1.2819650589946874,-0.621638240283826,-1.1644420645679832,0.12679958383659629,2007-05-11
-0.4024016411700654,-1.291110254690346,-0.6425982494958985,-1.162073955930664,0.11933280097516728,2007-05-14
-0.3998434774692834,-1.3076160029150818,-0.6576540498194521,-1.1691018335009777,0.11391214381112207,2007-05-15
-0.3853474276984918,-1.2844186389459724,-0.6632630128237291,-1.1697893200415925,0.1497258881285908,2007-05-16
-0.39302181320068447,-1.2969096425138185,-0.655292340489633,-1.1617683935258487,0.14588176787047916,2007-05-17
-0.40581242050428823,-1.2371318168902647,-0.641122148946747,-1.1595530949611572,0.1735370108578699,2007-05-18
-0.38705287016567963,-1.2583216479668333,-0.6313801946152865,-1.1520669026538406,0.18003592658732348,2007-05-21
-0.41775020097414534,-1.2659054916321089,-0.6393509313854115,-1.1461085223706002,0.177325765319521,2007-05-22
-0.42713013454367876,-1.290887150878926,-0.6428934953801403,-1.148591216909725,0.17223729463766724,2007-05-23
-0.4620911771202668,-1.327244642525363,-0.6600157591492711,-1.156994067561268,0.1313904482003293,2007-05-24
-0.4356572412794656,-1.299809242763165,-0.6511593491624494,-1.145802959965785,0.1541229749702358,2007-05-25
-0.40922309423835856,-1.2835264110250704,-0.652340203827359,-1.1430147318920647,0.16070493662885627,2007-05-29
-0.3819364371639632,-1.2607752279181184,-0.6485024583844173,-1.126132611117555,0.1942230773019524,2007-05-30
-0.41775020097414534,-1.268135967771974,-0.6452551402739306,-1.1168894638527695,0.19530167326132497,2007-05-31
-0.4262774133100847,-1.2694742159909373,-0.6358084318267119,-1.1275458083696062,0.2111203920499078,2007-06-01
-0.41519224847366915,-1.2763887749826353,-0.6446647129414758,-1.1163547296443428,0.21897472442446483,2007-06-04
-0.42713013454367876,-1.2850879236195498,-0.6517497764949043,-1.1112365882339053,0.19621417459683982,2007-06-05
-0.45185862791729214,-1.3615944139544804,-0.6647391133728805,-1.1075317018159587,0.1586861592012625,2007-06-06
-0.5089901057668645,-1.3752005886905523,-0.685699122584953,-1.1058893327602959,0.08495718736905264,2007-06-07
-0.4723237263232415,-1.3468731215715484,-0.6789092404797376,-1.1042851301350154,0.13183302611595368,2007-06-08
-0.4748817844238702,-1.3435273136993613,-0.6827469859226792,-1.1207089361725218,0.13584290083843487,2007-06-11
-0.4893778341946618,-1.3631559533096425,-0.6768427770341602,-1.1199832254610853,0.09126266297038242,2007-06-12
-0.4433316267816582,-1.3457577898392263,-0.6759571038174635,-1.1309833276833394,0.1539572205058663,2007-06-13
-0.43224635634508946,-1.3294751186652283,-0.6806805224771019,-1.1262090017187587,0.1741453460033878,2007-06-14
-0.43480452004587145,-1.3018168024163885,-0.6759571038174635,-1.1195249107240821,0.20163483176088504,2007-06-15
-0.4330990775786836,-1.2964634348909778,-0.6792044863639793,-1.1019934409691199,0.1964909980480947,2007-06-18
-0.43736268374665344,-1.270366443911839,-0.6812709498095567,-1.107455311214755,0.20381936641837228,2007-06-19
-0.47573450565746433,-1.2815190386966255,-0.6892416865796818,-1.1155144041608807,0.14613057102953952,2007-06-20
-0.4578276765524499,-1.268135967771974,-0.7205340774556696,-1.1065386240003088,0.17198815408464263,2007-06-21
-0.5200753762034329,-1.3163149909879008,-0.741789268115955,-1.1099761721842618,0.11770123843226135,2007-06-22
-0.5200753762034329,-1.3015936986049683,-0.7382467685572551,-1.1124970620239882,0.10437122049116275,2007-06-25
-0.5175172125026513,-1.2964634348909778,-0.7349993860107394,-1.1227714535348057,0.09095849678038546,2007-06-26
-0.48767239172747395,-1.294232958751113,-0.7243718228986112,-1.1142158216808549,0.12815466308773554,2007-06-27
-0.49108327666184964,-1.2826343436682648,-0.7149250500153636,-1.1192957389204705,0.12641236895190847,2007-06-28
-0.5217808186706208,-1.2982478907327815,-0.7211245047881243,-1.1136428633016064,0.1198857730897486,2007-06-29
-0.4987576621640427,-1.3036010709334134,-0.7267335322284303,-1.116622096748556,0.1643556195243681,2007-07-02
-0.4748817844238702,-1.2685819880700353,-0.7175819407933957,-1.0940489339247998,0.1793999085435753,2007-07-03
-0.4774399481246522,-1.2357934081072055,-0.7181723681258504,-1.0727362160209069,0.1808657166221117,2007-07-05
-0.47914539059184,-1.2139344529211553,-0.7119729777891185,-1.0744549756777735,0.19480372954924,2007-07-06
-0.48767239172747395,-1.2152727011401183,-0.7181723681258504,-1.0819793344154724,0.1987032156038122,2007-07-09
-0.5337187047406308,-1.2228565448053943,-0.724962250231066,-1.0742639991747638,0.13860842513717395,2007-07-10
-0.5200753762034329,-1.2123731008907719,-0.7285047497897658,-1.0741112179723562,0.16250259656114388,2007-07-11
-0.47061828385605325,-1.2083581689091034,-0.7293904230064623,-1.0676944652116733,0.24253670660071933,2007-07-12
-0.4919359978954438,-1.223525668914876,-0.7261431048959754,-1.0537151584126896,0.2558113587453574,2007-07-13
-0.47402906319027643,-1.1998820973229258,-0.7258478590117338,-1.0523019611606383,0.2475701516456007,2007-07-16
-0.4100758154719527,-1.175123541887529,-0.7320473137844944,-1.049208141811883,0.2471552538626826,2007-07-17
-0.39813792940194265,-1.1682088223317353,-0.713449013902241,-1.0522255705594343,0.23830571161740807,2007-07-18
-0.3478281158209693,-1.0615902484719013,-0.6777284502508568,-1.0450449117867133,0.257415241155557,2007-07-19
-0.37767293659614626,-1.085010716252431,-0.6780235672630409,-1.0307218184120928,0.20492564527597515,2007-07-20
-0.37511477289536466,-1.0499916601497359,-0.6641486860404258,-1.0309127949151022,0.22558402882182735,2007-07-23
-0.4083705842050702,-1.054675716240886,-0.660606122045697,-1.0645624794325357,0.14115282917508293,2007-07-24
-0.4160449697072629,-1.011626769414171,-0.6703481408131865,-1.05551030867076,0.16064957359791968,2007-07-25
-0.47829266935824627,-1.0466458522775488,-0.685994304033166,-1.0221279912575398,0.06266723574924654,2007-07-26
-0.5286024829392196,-1.0669434554332158,-0.7007548584724778,-1.0303399231465127,-0.0029035749123735503,2007-07-27
-0.5277497617056256,-1.0914792549460675,-0.6992788223593552,-1.0395830415410787,0.038468898135279636,2007-07-30
-0.5627109098823665,-1.1778000650861384,-0.7081351679101481,-1.0765174930400574,-0.013080513510557076,2007-07-31
-0.5362769740415653,-1.146795914204429,-0.6927841861383814,-1.0641423311259148,0.016068220453600363,2007-08-01
-0.5175172125026513,-1.1202527423631328,-0.7010501043567196,-1.0584513179468882,0.03373962204591919,2007-08-02
-0.5652690735831485,-1.150141722076616,-0.719058041342547,-1.0761737353346401,-0.07450270033010434,2007-08-03
-0.5158117700354631,-1.105531423219518,-0.7019357775734162,-1.0631874774810866,0.021212054166390704,2007-08-06
-0.5149591544020222,-1.1135612871828549,-0.6951458310321718,-1.064027745224109,0.046212164288475306,2007-08-07
-0.4765872268910584,-1.1169187091913206,-0.677433204366615,-1.0679236658855045,0.10367983941647797,2007-08-08
-0.5362769740415653,-1.1672827421472556,-0.6676912500351544,-1.0970281385015297,-0.01910950582012019,2007-08-09
-0.5865867876225387,-1.1245293670606316,-0.6679864314833673,-1.1023371986745372,-0.017588331945123215,2007-08-10
-0.5934084518911376,-1.1229625023296184,-0.6747763135885829,-1.091680825287481,-0.019579429240010646,2007-08-13
-0.615656397676253,-1.1377358442403436,-0.6942602866875329,-1.1060421139627035,-0.09253397406836888,2007-08-14
-0.6302033467206781,-1.1560907288768965,-0.7113825504566638,-1.1218165998899774,-0.1474022195214902,2007-08-15
-0.655018643419866,-1.1905621543694316,-0.7102016313557252,-1.1327021450806454,-0.13476358265507635,2007-08-16
-0.6173678593521484,-1.1634775068749894,-0.7075447405776932,-1.1135664727004027,-0.0388830736942118,2007-08-17
-0.6165121813142771,-1.201082661829552,-0.7013453502409613,-1.1129554056312114,-0.039961329494096184,2007-08-20
-0.6327704864344451,-1.2051117769730355,-0.6883560133629851,-1.092521150770943,-0.03561960568338776,2007-08-21
-0.6199349990659154,-1.183623162874456,-0.6827469859226792,-1.0736528743651332,0.011255895669549066,2007-08-22
-0.6130894691627914,-1.1511663886160517,-0.6833374132551339,-1.07915293991137,0.00691417185884065,2007-08-23
-0.569448833229821,-1.1110989832490195,-0.6812709498095567,-1.0629965009780769,0.053568552950947396,2007-08-24
-0.5968311640426234,-1.106622081602418,-0.6877655860305303,-1.0746459521807832,0.01877837895587887,2007-08-27
-0.6447501901649507,-1.1388551365537007,-0.7022309590216291,-1.0953857117054278,-0.0764387719880194,2007-08-28
-0.5882741724636035,-1.0813282054708895,-0.6845182679200434,-1.0676562699110714,0.010398760130494776,2007-08-29
-0.6002538761941087,-1.0634209467733586,-0.6883560133629851,-1.0593680051613341,-0.006526234750166914,2007-08-30
-0.576294363132945,-1.0338740488664462,-0.6824518044744661,-1.0508505108675459,0.03869001839610973,2007-08-31
-0.569448833229821,-1.0002980358160503,-0.677433204366615,-1.0291558399576337,0.08136220766396558,2007-09-04
-0.5976868420804946,-1.007237187875122,-0.685699122584953,-1.0574200448306363,0.03398876259894378,2007-09-05
